software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget,file,markers_symbol
4.1,cluster,0001 CLA-EPd-CTX Car3 Glut_1,50,0.5555555555555556,0.7368421052631579,0.28,195,5,36,14,1,['ENSMUSG00000020140'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_individual_results.pkl,Lgr5
4.1,cluster,0002 CLA-EPd-CTX Car3 Glut_1,50,0.4347826086956521,0.5454545454545454,0.24,190,10,38,12,1,['ENSMUSG00000112210'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_individual_results.pkl,4930407I19Rik
4.1,cluster,0003 CLA-EPd-CTX Car3 Glut_1,50,0.4268292682926829,0.875,0.14,199,1,43,7,1,['ENSMUSG00000046318'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_individual_results.pkl,Ccbe1
4.1,cluster,0004 CLA-EPd-CTX Car3 Glut_1,50,0.6578947368421052,0.9375,0.3,199,1,35,15,1,['ENSMUSG00000030351'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_individual_results.pkl,Tspan11
4.1,cluster,0005 CLA-EPd-CTX Car3 Glut_2,50,0.5172413793103449,0.5806451612903226,0.36,187,13,32,18,1,['ENSMUSG00000037868'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_individual_results.pkl,Egr2
4.1,cluster,0006 IT EP-CLA Glut_1,50,0.49999999999999994,0.9,0.18,799,1,41,9,1,['ENSMUSG00000087247'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Alkal1
4.1,cluster,0007 IT EP-CLA Glut_1,50,0.31609195402298845,0.2796610169491525,0.66,715,85,17,33,1,['ENSMUSG00000031283'],0.5260278582572937,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Chrdl1
4.1,cluster,0008 IT EP-CLA Glut_1,50,0.33755274261603374,0.3018867924528302,0.64,726,74,18,32,1,['ENSMUSG00000053846'],1.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Lipg
4.1,cluster,0009 IT EP-CLA Glut_1,50,0.2142857142857143,0.2,0.3,740,60,35,15,1,['ENSMUSG00000047496'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Rnf152
4.1,cluster,0010 IT EP-CLA Glut_1,50,0.4716981132075473,0.7142857142857143,0.2,796,4,40,10,1,['ENSMUSG00000057722'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Lepr
4.1,cluster,0011 IT EP-CLA Glut_1,50,0.396039603960396,0.42105263157894735,0.32,778,22,34,16,1,['ENSMUSG00000025255'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Zfhx4
4.1,cluster,0012 IT EP-CLA Glut_1,50,0.5633802816901409,0.6956521739130435,0.32,793,7,34,16,1,['ENSMUSG00000030560'],1.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Ctsc
4.1,cluster,0013 IT EP-CLA Glut_2,50,0.4320987654320988,0.5,0.28,786,14,36,14,1,['ENSMUSG00000051397'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Tacstd2
4.1,cluster,0014 IT EP-CLA Glut_2,50,0.3688524590163934,0.5,0.18,791,9,41,9,1,['ENSMUSG00000039081'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Zfp503
4.1,cluster,0015 IT EP-CLA Glut_2,50,0.2027027027027027,0.5,0.06,797,3,47,3,1,['ENSMUSG00000037868'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Egr2
4.1,cluster,0016 IT EP-CLA Glut_2,50,0.21164021164021166,0.1951219512195122,0.32,734,66,34,16,1,['ENSMUSG00000024014'],0.1326041966676712,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Pim1
4.1,cluster,0017 IT EP-CLA Glut_2,50,0.47297297297297297,0.4883720930232558,0.42,778,22,29,21,1,['ENSMUSG00000028172'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Tacr3
4.1,cluster,0018 IT EP-CLA Glut_3,50,0.5494505494505495,0.6060606060606061,0.4,787,13,30,20,1,['ENSMUSG00000057098'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Ebf1
4.1,cluster,0019 IT EP-CLA Glut_3,50,0.46992481203007525,0.46296296296296297,0.5,771,29,25,25,1,['ENSMUSG00000042655'],1.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Shisal2b
4.1,cluster,0020 IT EP-CLA Glut_3,50,0.42792792792792794,0.4418604651162791,0.38,776,24,31,19,1,['ENSMUSG00000026605'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Cenpf
4.1,cluster,0021 IT EP-CLA Glut_4,50,0.5263157894736842,0.75,0.24,796,4,38,12,1,['ENSMUSG00000020019'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Ntn4
4.1,cluster,0022 IT EP-CLA Glut_4,50,0.46703296703296704,0.5151515151515151,0.34,784,16,33,17,1,['ENSMUSG00000110924'],0.0,cluster_002_IT_EP-CLA_Glut_individual_results.pkl,Gm40518
4.1,cluster,0023 L5/6 IT TPE-ENT Glut_1,50,0.2027027027027027,0.5,0.06,447,3,47,3,1,['ENSMUSG00000027971'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Ndst4
4.1,cluster,0024 L5/6 IT TPE-ENT Glut_1,50,0.35714285714285715,0.5833333333333334,0.14,445,5,43,7,1,['ENSMUSG00000043850'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Clrn1
4.1,cluster,0025 L5/6 IT TPE-ENT Glut_1,50,0.7142857142857143,0.8461538461538461,0.44,446,4,28,22,1,['ENSMUSG00000031548'],1.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Sfrp1
4.1,cluster,0026 L5/6 IT TPE-ENT Glut_2,50,0.09259259259259259,1.0,0.02,450,0,49,1,1,['ENSMUSG00000061353'],0.05940774083137512,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Cxcl12
4.1,cluster,0027 L5/6 IT TPE-ENT Glut_2,50,0.4069767441860465,0.40384615384615385,0.42,419,31,29,21,1,['ENSMUSG00000026841'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Fibcd1
4.1,cluster,0028 L5/6 IT TPE-ENT Glut_2,50,0.30303030303030304,1.0,0.08,450,0,46,4,1,['ENSMUSG00000118229'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Lncbate10
4.1,cluster,0029 L5/6 IT TPE-ENT Glut_3,50,0.4716981132075473,0.7142857142857143,0.2,446,4,40,10,1,['ENSMUSG00000031825'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Crispld2
4.1,cluster,0030 L5/6 IT TPE-ENT Glut_4,50,0.5056179775280899,0.5625,0.36,436,14,32,18,1,['ENSMUSG00000075270'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Pde11a
4.1,cluster,0031 L5/6 IT TPE-ENT Glut_5,50,0.2898550724637681,0.36363636363636365,0.16,436,14,42,8,1,['ENSMUSG00000038760'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Trhr
4.1,cluster,0032 L5/6 IT TPE-ENT Glut_6,50,0.704225352112676,0.8695652173913043,0.4,447,3,30,20,1,['ENSMUSG00000026042'],0.0,cluster_003_L5_6_IT_TPE-ENT_Glut_individual_results.pkl,Col5a2
4.1,cluster,0033 L6 IT CTX Glut_1,50,0.3991596638655462,0.40425531914893614,0.38,1022,28,31,19,1,['ENSMUSG00000033063'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Cntnap3
4.1,cluster,0034 L6 IT CTX Glut_1,50,0.5555555555555557,0.6428571428571429,0.36,1040,10,32,18,1,['ENSMUSG00000026676'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Ccdc3
4.1,cluster,0035 L6 IT CTX Glut_1,50,0.30303030303030304,0.32432432432432434,0.24,1025,25,38,12,1,['ENSMUSG00000030559'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Rab38
4.1,cluster,0036 L6 IT CTX Glut_1,50,0.40697674418604657,0.7777777777777778,0.14,1048,2,43,7,1,['ENSMUSG00000026042'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Col5a2
4.1,cluster,0037 L6 IT CTX Glut_1,50,0.3846153846153846,0.391304347826087,0.36,1022,28,32,18,1,['ENSMUSG00000063564'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Col23a1
4.1,cluster,0038 L6 IT CTX Glut_2,50,0.1744186046511628,0.17307692307692307,0.18,1007,43,41,9,1,['ENSMUSG00000075324'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Fign
4.1,cluster,0039 L6 IT CTX Glut_2,50,0.2459016393442623,0.3333333333333333,0.12,1038,12,44,6,1,['ENSMUSG00000028871'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Rspo1
4.1,cluster,0040 L6 IT CTX Glut_2,50,0.09259259259259259,1.0,0.02,1050,0,49,1,1,['ENSMUSG00000044042'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Fmn1
4.1,cluster,0041 L6 IT CTX Glut_2,50,0.11686143572621034,0.0975609756097561,0.56,791,259,22,28,1,['ENSMUSG00000022844'],1.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Pdia5
4.1,cluster,0042 L6 IT CTX Glut_2,50,0.22248243559718972,0.1890547263681592,0.76,887,163,12,38,1,['ENSMUSG00000076617'],0.20477241277694702,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Ighm
4.1,cluster,0043 L6 IT CTX Glut_2,50,0.14388489208633093,0.12244897959183673,0.48,878,172,26,24,1,['ENSMUSG00000076617'],0.28767770528793335,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Ighm
4.1,cluster,0044 L6 IT CTX Glut_3,50,0.3857142857142857,0.36,0.54,1002,48,23,27,1,['ENSMUSG00000042035'],1.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Igsf3
4.1,cluster,0045 L6 IT CTX Glut_3,50,0.2536231884057971,0.23076923076923078,0.42,980,70,29,21,1,['ENSMUSG00000041674'],0.04691409692168236,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,BC006965
4.1,cluster,0046 L6 IT CTX Glut_3,50,0.2898550724637681,0.36363636363636365,0.16,1036,14,42,8,1,['ENSMUSG00000020140'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Lgr5
4.1,cluster,0047 L6 IT CTX Glut_3,50,0.47468354430379744,0.5555555555555556,0.3,1038,12,35,15,1,['ENSMUSG00000068696'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Gpr88
4.1,cluster,0048 L6 IT CTX Glut_3,50,0.28761061946902655,0.29545454545454547,0.26,1019,31,37,13,1,['ENSMUSG00000020140'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Lgr5
4.1,cluster,0049 L6 IT CTX Glut_4,50,0.47029702970297027,0.5,0.38,1031,19,31,19,1,['ENSMUSG00000032487'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Ptgs2
4.1,cluster,0050 L6 IT CTX Glut_4,50,0.3508771929824561,0.5,0.16,1042,8,42,8,1,['ENSMUSG00000039714'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Cplx3
4.1,cluster,0051 L6 IT CTX Glut_4,50,0.47520661157024796,0.4791666666666667,0.46,1025,25,27,23,1,['ENSMUSG00000053475'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Tnfaip6
4.1,cluster,0052 L6 IT CTX Glut_4,50,0.22727272727272727,0.2692307692307692,0.14,1031,19,43,7,1,['ENSMUSG00000035021'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Baz1a
4.1,cluster,0053 L6 IT CTX Glut_5,50,0.37610619469026546,0.38636363636363635,0.34,1023,27,33,17,1,['ENSMUSG00000030560'],0.6526076197624207,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Ctsc
4.1,cluster,0054 L6 IT CTX Glut_5,50,0.30346820809248554,0.28378378378378377,0.42,997,53,29,21,1,['ENSMUSG00000022687'],0.0,cluster_004_L6_IT_CTX_Glut_individual_results.pkl,Boc
4.1,cluster,0055 L5 IT CTX Glut_1,50,0.6159420289855072,0.7727272727272727,0.34,495,5,33,17,1,['ENSMUSG00000007877'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Tcap
4.1,cluster,0056 L5 IT CTX Glut_1,50,0.3349282296650718,0.30434782608695654,0.56,436,64,22,28,1,['ENSMUSG00000034009'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Rxfp1
4.1,cluster,0057 L5 IT CTX Glut_1,50,0.49019607843137253,0.7692307692307693,0.2,497,3,40,10,1,['ENSMUSG00000027803'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Wwtr1
4.1,cluster,0058 L5 IT CTX Glut_2,50,0.27472527472527475,0.30303030303030304,0.2,477,23,40,10,1,['ENSMUSG00000029361'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Nos1
4.1,cluster,0059 L5 IT CTX Glut_2,50,0.2868852459016394,0.3888888888888889,0.14,489,11,43,7,1,['ENSMUSG00000021108'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Prkch
4.1,cluster,0060 L5 IT CTX Glut_2,50,0.7323232323232323,0.7837837837837838,0.58,492,8,21,29,1,['ENSMUSG00000026344'],1.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Lypd1
4.1,cluster,0061 L5 IT CTX Glut_3,50,0.6168831168831168,0.7307692307692307,0.38,493,7,31,19,1,['ENSMUSG00000053368'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Rxfp2
4.1,cluster,0062 L5 IT CTX Glut_3,50,0.1724137931034483,1.0,0.04,500,0,48,2,1,['ENSMUSG00000054162'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Spock3
4.1,cluster,0063 L5 IT CTX Glut_4,50,0.6611570247933884,0.6666666666666666,0.64,484,16,18,32,1,['ENSMUSG00000045648'],1.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Vwc2l
4.1,cluster,0064 L5 IT CTX Glut_4,50,0.32051282051282054,0.7142857142857143,0.1,498,2,45,5,1,['ENSMUSG00000051497'],0.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Kcnj16
4.1,cluster,0065 L5 IT CTX Glut_5,50,0.6560283687943262,0.6379310344827587,0.74,479,21,13,37,1,['ENSMUSG00000020651'],1.0,cluster_005_L5_IT_CTX_Glut_individual_results.pkl,Slc26a4
4.1,cluster,0066 L4/5 IT CTX Glut_1,50,0.2514792899408284,0.2361111111111111,0.34,1745,55,33,17,1,['ENSMUSG00000031654'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Cbln1
4.1,cluster,0067 L4/5 IT CTX Glut_1,50,0.12773722627737227,0.125,0.14,1751,49,43,7,1,['ENSMUSG00000030785'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Cox6a2
4.1,cluster,0068 L4/5 IT CTX Glut_1,50,0.30201342281879195,0.2903225806451613,0.36,1756,44,32,18,1,['ENSMUSG00000091002'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Tcerg1l
4.1,cluster,0069 L4/5 IT CTX Glut_1,50,0.10971786833855797,0.09523809523809523,0.28,1667,133,36,14,1,['ENSMUSG00000009376'],0.024265065789222717,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Met
4.1,cluster,0070 L4/5 IT CTX Glut_1,50,0.14285714285714285,0.12093023255813953,0.52,1611,189,24,26,1,['ENSMUSG00000024798'],1.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Htr7
4.1,cluster,0071 L4/5 IT CTX Glut_1,50,0.2755905511811024,0.27450980392156865,0.28,1763,37,36,14,1,['ENSMUSG00000050854'],0.05740077421069145,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Tmem125
4.1,cluster,0072 L4/5 IT CTX Glut_1,50,0.14120667522464697,0.11671087533156499,0.88,1467,333,6,44,1,['ENSMUSG00000034810'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Scn7a
4.1,cluster,0073 L4/5 IT CTX Glut_1,50,0.23255813953488372,0.23076923076923078,0.24,1760,40,38,12,1,['ENSMUSG00000050010'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Shisa3
4.1,cluster,0074 L4/5 IT CTX Glut_1,50,0.1724137931034483,0.14634146341463414,0.6,1625,175,20,30,1,['ENSMUSG00000022468'],0.27130579948425293,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Endou
4.1,cluster,0075 L4/5 IT CTX Glut_2,50,0.2108433734939759,0.2413793103448276,0.14,1778,22,43,7,1,['ENSMUSG00000053930'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Shisa6
4.1,cluster,0076 L4/5 IT CTX Glut_2,50,0.40404040404040403,0.43243243243243246,0.32,1779,21,34,16,1,['ENSMUSG00000016995'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Matn4
4.1,cluster,0077 L4/5 IT CTX Glut_2,50,0.2615062761506276,0.2336448598130841,0.5,1718,82,25,25,1,['ENSMUSG00000040998'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Npnt
4.1,cluster,0078 L4/5 IT CTX Glut_2,50,0.12589928057553956,0.12280701754385964,0.14,1750,50,43,7,1,['ENSMUSG00000020732'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Rab37
4.1,cluster,0079 L4/5 IT CTX Glut_2,50,0.15895953757225437,0.14864864864864866,0.22,1737,63,39,11,1,['ENSMUSG00000023963'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Cyp39a1
4.1,cluster,0080 L4/5 IT CTX Glut_2,50,0.106318347509113,0.08771929824561403,0.7,1436,364,15,35,1,['ENSMUSG00000047773'],0.03381575644016266,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Ankfn1
4.1,cluster,0081 L4/5 IT CTX Glut_2,50,0.14492753623188406,0.125,0.4,1660,140,30,20,1,['ENSMUSG00000068196'],0.31743720173835754,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Col8a1
4.1,cluster,0082 L4/5 IT CTX Glut_2,50,0.1519756838905775,0.13157894736842105,0.4,1668,132,30,20,1,['ENSMUSG00000032128'],0.12567105889320374,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Robo3
4.1,cluster,0083 L4/5 IT CTX Glut_3,50,0.5,0.5428571428571428,0.38,1784,16,31,19,1,['ENSMUSG00000038760'],1.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Trhr
4.1,cluster,0084 L4/5 IT CTX Glut_3,50,0.3939393939393939,0.37142857142857144,0.52,1756,44,24,26,1,['ENSMUSG00000057606'],1.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Colq
4.1,cluster,0085 L4/5 IT CTX Glut_3,50,0.2536231884057971,0.3181818181818182,0.14,1785,15,43,7,1,['ENSMUSG00000091002'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Tcerg1l
4.1,cluster,0086 L4/5 IT CTX Glut_3,50,0.43859649122807015,0.625,0.2,1794,6,40,10,1,['ENSMUSG00000032511'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Scn5a
4.1,cluster,0087 L4/5 IT CTX Glut_3,50,0.1744186046511628,0.15217391304347827,0.42,1683,117,29,21,1,['ENSMUSG00000063415'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Cyp26b1
4.1,cluster,0088 L4/5 IT CTX Glut_3,50,0.5154639175257731,0.5555555555555556,0.4,1784,16,30,20,1,['ENSMUSG00000111765'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Gm10635
4.1,cluster,0089 L4/5 IT CTX Glut_4,50,0.5084745762711864,0.7058823529411765,0.24,1795,5,38,12,1,['ENSMUSG00000042453'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Reln
4.1,cluster,0090 L4/5 IT CTX Glut_4,50,0.2702702702702703,0.6666666666666666,0.08,1798,2,46,4,1,['ENSMUSG00000032487'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Ptgs2
4.1,cluster,0091 L4/5 IT CTX Glut_4,50,0.20146520146520147,0.1774193548387097,0.44,1698,102,28,22,1,['ENSMUSG00000032322'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Pstpip1
4.1,cluster,0092 L4/5 IT CTX Glut_4,50,0.10985352862849536,0.09090909090909091,0.66,1470,330,17,33,1,['ENSMUSG00000055214'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Pld5
4.1,cluster,0093 L4/5 IT CTX Glut_4,50,0.4128440366972477,0.42857142857142855,0.36,1776,24,32,18,1,['ENSMUSG00000026604'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Ptpn14
4.1,cluster,0094 L4/5 IT CTX Glut_4,50,0.4477611940298507,0.5714285714285714,0.24,1791,9,38,12,1,['ENSMUSG00000062372'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Otof
4.1,cluster,0095 L4/5 IT CTX Glut_5,50,0.1574307304785894,0.13440860215053763,0.5,1639,161,25,25,1,['ENSMUSG00000075324'],0.014436231926083565,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Fign
4.1,cluster,0096 L4/5 IT CTX Glut_5,50,0.20648967551622419,0.17834394904458598,0.56,1671,129,22,28,1,['ENSMUSG00000053930'],0.14375334978103638,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Shisa6
4.1,cluster,0097 L4/5 IT CTX Glut_5,50,0.20231213872832374,0.1891891891891892,0.28,1740,60,36,14,1,['ENSMUSG00000017493'],1.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Igfbp4
4.1,cluster,0098 L4/5 IT CTX Glut_5,50,0.3488372093023256,0.6666666666666666,0.12,1797,3,44,6,1,['ENSMUSG00000021765'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Fst
4.1,cluster,0099 L4/5 IT CTX Glut_6,50,0.22151898734177214,0.25925925925925924,0.14,1780,20,43,7,1,['ENSMUSG00000045875'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Adra1a
4.1,cluster,0100 L4/5 IT CTX Glut_6,50,0.19452449567723346,0.16770186335403728,0.54,1666,134,23,27,1,['ENSMUSG00000022935'],0.11832914501428604,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Grik1
4.1,cluster,0101 L4/5 IT CTX Glut_6,50,0.1724137931034483,0.1935483870967742,0.12,1775,25,44,6,1,['ENSMUSG00000032033'],0.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Barx2
4.1,cluster,0102 L4/5 IT CTX Glut_6,50,0.7070707070707072,0.7567567567567568,0.56,1791,9,22,28,1,['ENSMUSG00000028004'],1.0,cluster_006_L4_5_IT_CTX_Glut_individual_results.pkl,Npy2r
4.1,cluster,0103 L2/3 IT CTX Glut_1,50,0.20202020202020202,0.21621621621621623,0.16,821,29,42,8,1,['ENSMUSG00000034112'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Atp2c2
4.1,cluster,0104 L2/3 IT CTX Glut_1,50,0.4545454545454545,0.6666666666666666,0.2,845,5,40,10,1,['ENSMUSG00000027318'],0.3356231153011322,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Adam33
4.1,cluster,0105 L2/3 IT CTX Glut_1,50,0.24229074889867844,0.21782178217821782,0.44,771,79,28,22,1,['ENSMUSG00000015134'],0.12623664736747742,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Aldh1a3
4.1,cluster,0106 L2/3 IT CTX Glut_1,50,0.2926829268292683,0.26666666666666666,0.48,784,66,26,24,1,['ENSMUSG00000015134'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Aldh1a3
4.1,cluster,0107 L2/3 IT CTX Glut_1,50,0.7258064516129032,0.7941176470588235,0.54,843,7,23,27,1,['ENSMUSG00000033063'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Cntnap3
4.1,cluster,0108 L2/3 IT CTX Glut_2,50,0.6904761904761905,0.725,0.58,839,11,21,29,1,['ENSMUSG00000035910'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Dcdc2a
4.1,cluster,0109 L2/3 IT CTX Glut_2,50,0.22167487684729065,0.20224719101123595,0.36,779,71,32,18,1,['ENSMUSG00000067578'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Cbln4
4.1,cluster,0110 L2/3 IT CTX Glut_2,50,0.21929824561403508,0.2054794520547945,0.3,792,58,35,15,1,['ENSMUSG00000036545'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Adamts2
4.1,cluster,0111 L2/3 IT CTX Glut_2,50,0.2985074626865671,0.38095238095238093,0.16,837,13,42,8,1,['ENSMUSG00000035274'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Tpbg
4.1,cluster,0112 L2/3 IT CTX Glut_2,50,0.8396946564885496,0.8301886792452831,0.88,841,9,6,44,1,['ENSMUSG00000047907'],0.19214566051959991,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Tshz2
4.1,cluster,0113 L2/3 IT CTX Glut_3,50,0.7110091743119267,0.7380952380952381,0.62,839,11,19,31,1,['ENSMUSG00000036192'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Rorb
4.1,cluster,0114 L2/3 IT CTX Glut_3,50,0.3491620111731843,0.3246753246753247,0.5,798,52,25,25,1,['ENSMUSG00000052430'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Bmpr1b
4.1,cluster,0115 L2/3 IT CTX Glut_3,50,0.21653543307086617,0.21568627450980393,0.22,810,40,39,11,1,['ENSMUSG00000021108'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Prkch
4.1,cluster,0116 L2/3 IT CTX Glut_3,50,0.2352941176470588,0.20869565217391303,0.48,759,91,26,24,1,['ENSMUSG00000047996'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Prrg1
4.1,cluster,0117 L2/3 IT CTX Glut_4,50,0.23333333333333334,0.21,0.42,771,79,29,21,1,['ENSMUSG00000005124'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Ccn4
4.1,cluster,0118 L2/3 IT CTX Glut_4,50,0.5844155844155845,0.6923076923076923,0.36,842,8,32,18,1,['ENSMUSG00000035021'],1.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Baz1a
4.1,cluster,0119 L2/3 IT CTX Glut_4,50,0.396039603960396,0.42105263157894735,0.32,828,22,34,16,1,['ENSMUSG00000034009'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Rxfp1
4.1,cluster,0120 L2/3 IT CTX Glut_4,50,0.4487179487179487,0.4117647058823529,0.7,800,50,15,35,1,['ENSMUSG00000051111'],0.0,cluster_007_L2_3_IT_CTX_Glut_individual_results.pkl,Sv2c
